company,model,price,vehicle_type,transmission,cylinders,horsepower,acceleration,drive_train,fuel_type,fuel_consumption,towing,war_comp,war_power,war_rust,safety,reliability,consumer_rec
Acura,ILX,29.7,Compact (Sedan),Automatic with Manual Option,4,9.7,9.7,Front-wheel Drive,Gas,7.2,N/A,"4 years, 80k","5 years, 100k","5 years, unlimited",Good,N/A,Yes
Acura,MDX,51.9,SUV (full-size),Automatic with Manual Option,6,N/A,N/A,All-wheel Drive,Gas,9.6,5000,"4 years, 80k","5 years, 100k","5 years, unlimited",N/A,N/A,N/A
Acura,RDX,43.1,SUV (mid-size),Automatic with Manual Option,6,6.9,6.8,All-wheel Drive,Gas,9.2,1500,"4 years, 80k","5 years, 100k","5 years, unlimited",Good,Good,Yes
Acura,RLX,51.9,Full-Size (Sedan),Automatic with Manual Option,6,6.8,6.7,Front-wheel Drive,Gas,8.6,N/A,"4 years, 80k","5 years, 100k","5 years, unlimited",Good,Very Good,No
Acura,TL,41.9,Mid-size (Sedan),Automatic with Manual Option,6,7.1,7,Front-wheel Drive,Gas,8.6,N/A,"4 years, 80k","5 years, 100k","5 years, unlimited",Good,Very Good,Yes
Acura,TSX,36,Mid-size (Sedan),Manual,4,8.6,8.6,Front-wheel Drive,Gas,8.5,N/A,"4 years, 80k","5 years, 100k","5 years, unlimited",Good,Very Good,Yes
Acura,ZDX,58.7,Crossover,Automatic with Manual Option,N/A,N/A,N/A,All-wheel Drive,Gas,10.9,1500,"4 years, 80k","5 years, 100k","5 years, unlimited",N/A,N/A,N/A
Audi,A3,39.5,Hatchback,Automatic with Manual Option,4,200,6.7,All wheel drive,Gas,8.6,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",Good,Very Good,Yes
Audi,A3,39.1,Hatchback,Automatic with Manual Option,4,140,8.8,Front-wheel Drive,Diesel,5.7,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",Good,N/A,N/A
Audi,A4,44,Mid-size (Sedan),Automatic with Manual Option,4,211,6.7,All-wheel Drive,Gas,7.9,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",Good,Very Good,Yes
Audi,A4,47.8,Crossover,Automatic with Manual Option,4,211,6.7,All-wheel Drive,Gas,8.9,1680,"4 years, 80k","4 years, 80k","12 years, unlimited",N/A,Very Good,Yes
Audi,A5,50,Mid-size (Sedan),Automatic with Manual Option,4,211,6.6,All-wheel Drive,Gas,7.9,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",N/A,Very Good,Yes
Audi,A6,62.5,Mid-Size (Sedan),Automatic with Manual Option,6,310,5.5,All-wheel Drive,Gas,9.3,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",Good,Good,Yes
Audi,A7,72,Mid-size (Sedan),Automatic with Manual Option,6,310,5.6,All-wheel Drive,Gas,9.4,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",N/A,Very Good,No
Audi,A8,93,Full-size (Sedan),Automatic with Manual Option,6,333,5.7,All-wheel Drive,Gas,10,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",N/A,Very Good,No
Audi,Q5,43,SUV (mid-size),Automatic with Manual Option,4,211,7.2,All-wheel Drive,Gas,8.9,4400,"4 years, 80k","4 years, 80k","12 years, unlimited",Good,Good,Yes
Audi,Q5,59,SUV (mid-size),Automatic with Manual Option,4,211,7,All-wheel Drive,Hybrid,7.8,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",Good,Good,Yes
Audi,Q7,61,SUV (full-size),Automatic with Manual Option,6,280,7.9,All-wheel Drive,Gas,11.5,6600,"4 years, 80k","4 years, 80k","12 years, unlimited",Good,N/A,No
Audi,Q7,66,SUV (full-size),Automatic with Manual Option,6,240,7.9,All-wheel Drive,Diesel,9.3,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",Good,N/A,No
Audi,R8,137,Coupe,Manual,8,430,4.6,All-wheel Drive,Gas,17.5,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",N/A,N/A,No
Audi,S4,55.5,Mid-size (Sedan),Automatic with Manual Option,6,333,5.1,All-wheel Drive,Gas,10.7,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",N/A,Very Good,No
Audi,TT,52,Coupe,Automatic with Manual Option,4,211,5.5,All-wheel Drive,Gas,7.8,N/A,"4 years, 80k","4 years, 80k","12 years, unlimited",N/A,N/A,No
BMW,1 Series Convertible,46.1,Convertible,Manual,6,230,6.7,Rear-wheel Drive,Gas,9.2,N/A,"4 years, 80k","8 years, 130k","12 years, unlimited",N/A,Good,N/A
BMW,1 Series Coupe,38.9,Coupe,Manual,6,230,6.4,Rear-wheel Drive,Gas,9.2,N/A,"4 years, 80k","8 years, 130k","12 years, unlimited",N/A,Good,Yes
BMW,3 Series,40.5,Mid-size (Sedan),Automatic with Manual Option,4,181,7.1,Rear-wheel Drive,Gas,7.2,N/A,"4 years, 80k","8 years, 130k","12 years, unlimited",Good,Excellent,Yes
